tid,text,likes,retweets
987834777003745280,"RT @TamaraMcCleary: #Alibaba is developing its own #AI chips, too https://t.co/ZJeL4tbMVT? #China https://t.co/lZsAcBHbQ9",0,6
987832667692457986,If you are serious about building somthing and you have a 8am to 5pm spirit you might as well go do somthing else!… https://t.co/Z1eLPAYL50,1,0
987828344950525953,How will AR Refashion E-commerce? https://t.co/NrPV20vrA5 #AR #ecommerce #Amazon #VR #eBay #alibaba #Apple #ARKit… https://t.co/84oUCDPU5v,1,2
987827891877634048,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987826813966708737,"I uploaded a new episode, ""This Week in Economics 21 April 2018"", on #spreaker #alibaba #gasoline #h_1b… https://t.co/sfKLOyopuQ",0,0
987822281391931392,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987820882700759041,RT @SavageDarkhorse: Chinese will always support and back another Chinese Company. Especially in today's market climate against another U.S…,0,4
987817783646916610,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987817625290969088,"Alibaba has announced that it will develop a neural processor of its own, called the Ali-NPU.… https://t.co/uueosDIsYq",0,0
987817253029675008,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987810231248998400,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987810177251495936,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987807994950963200,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987806146051432450,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
987803120565719041,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
